Department,District,Block
Shivamogga Bhadravathi- Urban Development Authority,Shivamogga Bhadravathi,Not Applicable
Shivamogga-Bhadravati-Rural Development and Panchayat Raj-RDPR(T.P),Shivamogga,Bhadravati
Shivamogga-City Corporation,Shivamogga,Not Applicable
Shivamogga-Deputy Director of Land Records-DDLR,Shivamogga,Not Applicable
Shivamogga - District Consumer Disputes Redressal Commission,Shivamogga,Not Applicable
Shivamogga - District Institute Of Education and Training(DIET),Shivamogga,Not Applicable
Shivamogga-District Registrar - DR,Shivamogga,Not Applicable
Shivamogga - District Scheduled Tribes Welfare Department,Shivamogga,Not Applicable
Shivamogga- District Training Institute,Shivamogga,Not Applicable
Shivamogga-Food and Civil Supplies - FCS,Shivamogga,Not Applicable
Shivamogga-Hosanagara-Rural Development and Panchayat Raj-RDPR(T.P),Shivamogga,Hosanagara
"Shivamogga- Joint Director office, Commerce and Industries department",Shivamogga,Not Applicable
Shivamogga - Karnataka Maharshi Valmiki Scheduled Tribes Development Corporation Ltd,Shivamogga,Not Applicable
Shivamogga- Karnataka Slum Development Board,Shivamogga,Not Applicable
Shivamogga - Keladi Shivappa Nayaka University of Agricultural and Horticultural Sciences,Shivamogga,Not Applicable
Shivamogga-LABOUR,Shivamogga,Not Applicable
"Shivamogga - Office of the Chief Engineer, C&B (Central), Public Works Department",Shivamogga,Not Applicable
"Shivamogga- Office of The Chief Librarian, District Central Library, Department of Public Library",Shivamogga,Not Applicable
"Shivamogga - Office of the Deputy Director (Administration), Department of School Education",Shivamogga,Not Applicable
"Shivamogga-Office of the Deputy Director, Department of Agricultural Marketing",Shivamogga,Not Applicable
"Shivamogga - Office of the Deputy Director, Department of Handlooms and Textiles",Shivamogga,Not Applicable
"Shivamogga - Office of the Deputy Director, Department of School Education(Pre University)",Shivamogga,Not Applicable
"Shivamogga - Office of the Deputy Director, Department of Women and Child Development",Shivamogga,Not Applicable
"Shivamogga - Office of the Deputy Director, District Treasury",Shivamogga,Not Applicable
"Shivamogga - Office of the Deputy Director, Fisheries Department",Shivamogga,Not Applicable
Shivamogga - Office of The District Health and Family Welfare Officer,Shivamogga,Not Applicable
"Shivamogga - Office of the District Office, Department of Backward Classes Welfare",Shivamogga,Not Applicable
"Shivamogga - Office of The District Skill Development Officer, Skill Development Department",Shivamogga,Not Applicable
"Shivamogga- Office of the Joint Director, Department of Agriculture",Shivamogga,Not Applicable
"Shivamogga- Office of The Regional Fire Officer, Karnataka Fire and Emergency Services",Shivamogga,Not Applicable
"Shivamogga- Office of the Regional Joint Director, Department of Collegiate Education",Shivamogga,Not Applicable
Shivamogga- Office of The Superintendent of Police,Shivamogga,Not Applicable
Shivamogga-Public Works Department - PWD,Shivamogga,Not Applicable
"Shivamogga - Regional Office, Karnataka State Pollution Control Board",Shivamogga,Not Applicable
Shivamogga-REVENUE,Shivamogga,Not Applicable
Shivamogga-Rural Development and Panchayat Raj-RDPR(Z.P),Shivamogga,NA
Shivamogga-Sagara-Rural Development and Panchayat Raj-RDPR(T.P),Shivamogga,Sagara
Shivamogga-Shikaripura-Rural Development and Panchayat Raj-RDPR(T.P),Shivamogga,Shikaripura
Shivamogga-Shivamogga-Rural Development and Panchayat Raj-RDPR(T.P),Shivamogga,Shivamogga
Shivamogga-Soraba-Rural Development and Panchayat Raj-RDPR(T.P),Shivamogga,Soraba
Shivamogga-Thirthahalli-Rural Development and Panchayat Raj-RDPR(T.P),Shivamogga,Thirthahalli
Shivamogga-Urban Development Cell - DUDC,Shivamogga,Not Applicable
Shri Atal Bihari Vajpayee Medical College and Research Institution,State Level / Not Applicable,Not Applicable
Sindagi Planning Authority,NA,Not Applicable
Sira Urban Development Authority,NA,Not Applicable
Sirsi Town Planning Authority,NA,Not Applicable
State Crime Records Bureau(SCRB),NA,Not Applicable
"State Election Commission, Karnataka",NA,Not Applicable
State Highway Development Project (SHDP),NA,Not Applicable
Sub-Regional Science Centre Karwar,NA,Not Applicable
Suvarna Arogya Suraksha Trust,NA,Not Applicable
"Test-Login, (Do not Submit Request)",NA,Not Applicable
Test-Login II (Do not Submit Request),NA,Not Applicable
The Mysore Electrical Industries Limited,NA,Not Applicable
The Mysore Paper Mills Limited,NA,Not Applicable
The office of the Chief Architect,NA,Not Applicable
"The University of Agricultural Sciences, Bengaluru",NA,Not Applicable
Tiptur Planning Authority,Tiptur,Not Applicable
Town Planning Authority Gokak,Gokak,Not Applicable
"Town Planning Authority,Jamkhandi",Jamkhandi,Not Applicable
Tumakuru-Chiknayakanhalli-Rural Development and Panchayat Raj-RDPR(T.P),Tumakuru,Chiknayakanhalli
Tumakuru-City Corporation,Tumakuru,Not Applicable
Tumakuru-Deputy Director of Land Records-DDLR,Tumakuru,Not Applicable
Tumakuru - District Consumer Disputes Redressal Commission,Tumakuru,Not Applicable
Tumakuru - District Institute for Education and Training (DIET),Tumakuru,Not Applicable
Tumakuru-District Registrar - DR,Tumakuru,Not Applicable
Tumakuru - District Training Institute,Tumakuru,Not Applicable
Tumakuru-Food and Civil Supplies - FCS,Tumakuru,Not Applicable
Tumakuru-Gubbi-Rural Development and Panchayat Raj-RDPR(T.P),Tumakuru,Gubbi
Tumakuru - Karnataka Maharshi Valmiki Scheduled Tribes Development Corporation Ltd,Tumakuru,Not Applicable
Tumakuru-Koratagere-Rural Development and Panchayat Raj-RDPR(T.P),Tumakuru,Koratagere
Tumakuru-Kunigal-Rural Development and Panchayat Raj-RDPR(T.P),Tumakuru,Kunigal
Tumakuru-LABOUR,Tumakuru,Not Applicable
Tumakuru-Madhugiri-Rural Development and Panchayat Raj-RDPR(T.P),Tumakuru,Madhugiri
"Tumakuru- Office of The Chief Engineer (Electricity),Transmission zone, KPTCL",Tumakuru,Not Applicable
"Tumakuru - Office of the Deputy Director (Administration), Department of School Education",Tumakuru,Not Applicable
"Tumakuru-Office of the Deputy Director, Department of Agricultural Marketing",Tumakuru,Not Applicable
"Tumakuru- Office of The Deputy Director, Department of Animal Husbandry and Veterinary Services",Tumakuru,Not Applicable
"Tumakuru- Office of The Deputy Director, Department of Handlooms and Textiles",Tumakuru,Not Applicable
"Tumakuru - Office of the Deputy Director, Department of School Education, Madhugiri",Tumakuru,Not Applicable
"Tumakuru- Office of The Deputy Director, Department of Women and Child Development",Tumakuru,Not Applicable
"Tumakuru - Office of the Deputy Director, District Treasury",Tumakuru,Not Applicable
"Tumakuru-Office of the District officer, Backward Classes welfare department",Tumakuru,Not Applicable
"Tumakuru - Office of The District officer, Minority Welfare Department",Tumakuru,Not Applicable
"Tumakuru - Office of The District Skill Development Officer, Skill Development Department",Tumakuru,Not Applicable
"Tumakuru - Office of the Joint Director, Department of Agriculture",Tumakuru,Not Applicable
"Tumakuru - Office of The Joint Director, Department of Social Welfare",Tumakuru,Not Applicable
"Tumakuru- Office of The Joint Director, District Industrial Centre, Department of Ind and Comm",Tumakuru,Not Applicable
Tumakuru- Office of The Superintendent of Police,Tumakuru,Not Applicable
Tumakuru-Pavagada-Rural Development and Panchayat Raj-RDPR(T.P),Tumakuru,Pavagada
Tumakuru-Public Works Department - PWD,Tumakuru,Not Applicable
Tumakuru-REVENUE,Tumakuru,Not Applicable
Tumakuru-Rural Development and Panchayat Raj-RDPR(Z.P),Tumakuru,NA
Tumakuru-Sira-Rural Development and Panchayat Raj-RDPR(T.P),Tumakuru,Sira
Tumakuru-Tiptur-Rural Development and Panchayat Raj-RDPR(T.P),Tumakuru,Tiptur
Tumakuru-Tumakuru-Rural Development and Panchayat Raj-RDPR(T.P),Tumakuru,Tumakuru
Tumakuru-Turuvekere-Rural Development and Panchayat Raj-RDPR(T.P),Tumakuru,Turuvekere
Tumakuru University,State Level / Not Applicable,Not Applicable
Tumakuru Urban Development Authority(TUDA),Na,Not Applicable
Tumakuru-Urban Development Cell - DUDC,Tumakuru,Not Applicable
Udupi-Brahmavara-Rural Development and Panchayat Raj-RDPR(T.P),Udupi,Brahmavara
Udupi-Byndoor-Rural Development and Panchayat Raj-RDPR(T.P),Udupi,Byndoor
Udupi - Department For the Empowerment of Differently Abled and Senior Citizens,Udupi,Not Applicable
Udupi-Deputy Director of Land Records-DDLR,Udupi,Not Applicable
Udupi - District Consumer Disputes Redressal Commission,Udupi,Not Applicable
Udupi - District Institute for Education and Training (DIET),Udupi,Not Applicable
Udupi-District Registrar - DR,Udupi,Not Applicable
Udupi - District Training Institute,Udupi,Not Applicable
Udupi-DR B R Ambedkar Development Corporation Limited,Udupi,Not Applicable
Udupi-Food and Civil Supplies - FCS,Udupi,Not Applicable
Udupi-Hebri-Rural Development and Panchayat Raj-RDPR(T.P),Udupi,Hebri
"Udupi - Joint Director office, Commerce and Industries department",Udupi,Not Applicable
Udupi-Kapu-Rural Development and Panchayat Raj-RDPR(T.P),Udupi,Kapu
Udupi-Karkal-Rural Development and Panchayat Raj-RDPR(T.P),Udupi,Karkal
Udupi-Kundapura-Rural Development and Panchayat Raj-RDPR(T.P),Udupi,Kundapura
Udupi-LABOUR,Udupi,Not Applicable
"Udupi - Office of The Assistant Controller, Department of Legal Metrology",Udupi,Not Applicable
"Udupi - Office of The Assistant Director, Department of Agricultural Marketing",Udupi,Not Applicable
"Udupi - Office of The Assistant Director, Department of Town and Country Planning",Udupi,Not Applicable
"Udupi- Office of The Assistant Director, Dept of Pension and Small Savings, Assests and Liabilities",Udupi,Not Applicable
"Udupi - Office of the Deputy Director (Administration), Department of School Education",Udupi,Not Applicable
"Udupi - Office of the Deputy Director, Department of School Education(Pre University)",Udupi,Not Applicable
"Udupi- Office of The Deputy Director, Department of Women and Child Development",Udupi,Not Applicable
"Udupi - Office of the Deputy Director, District Treasury",Udupi,Not Applicable
Udupi - Office of The District Health and Family Welfare Officer,Udupi,Not Applicable
"Udupi - Office of the District Office, Department of Backward Classes Welfare",Udupi,Not Applicable
"Udupi - Office of The District Skill Development Officer, Skill Development Department",Udupi,Not Applicable
"Udupi - Office of The District Surgeon, District Hospital",Udupi,Not Applicable
"Udupi-Office of The Joint Director, Department of Agriculture",Udupi,Not Applicable
"Udupi- Office of The Regional Director(Environment), Department of Forest, Ecology and Environment",Udupi,Not Applicable
Udupi- Office of The Superintendent of Police,Udupi,Not Applicable
Udupi-Public Works Department - PWD,Udupi,Not Applicable
Udupi-REVENUE,Udupi,Not Applicable
Udupi-Rural Development and Panchayat Raj-RDPR(Z.P),Udupi,NA
Udupi-Udupi-Rural Development and Panchayat Raj-RDPR(T.P),Udupi,Udupi
Udupi-Urban Development Cell - DUDC,Udupi,Not Applicable
"University of Agricultural Sciences, Dharwad",State Level / Not Applicable,Not Applicable
"University of Agricultural Sciences,Raichur",State Level / Not Applicable,Not Applicable
"University of Horticultural Sciences, Bagalkot",State Level / Not Applicable,Not Applicable
"UttaraKananda - District Institute Of Education and Training(DIET), Sirsi",UttaraKananda,Not Applicable
"UttaraKananda - Office of the Deputy Director (Administration) Department of School Education, Sirsi",UttaraKananda,Not Applicable
Uttara Kannada-Ankola-Rural Development and Panchayat Raj-RDPR(T.P),Uttara Kannada,Ankola
Uttara Kannada-Bhatkal-Rural Development and Panchayat Raj-RDPR(T.P),Uttara Kannada,Bhatkal
Uttara Kannada-Dandeli-Rural Development and Panchayat Raj-RDPR(T.P),Uttara Kannada,Dandeli
Uttara Kannada-Deputy Director of Land Records-DDLR,Uttara Kannada,Not Applicable
Uttarakannada- District Consumer Disputes and Redressal Commission,Uttarakannada,Not Applicable
Uttara Kannada-District Registrar - DR,Uttara Kannada,Not Applicable
Uttarakannada - District Training Institute (Sirsi),Uttarakannada,Not Applicable
Uttara Kannada-Food and Civil Supplies - FCS,Uttara Kannada,Not Applicable
Uttara Kannada-Haliyal-Rural Development and Panchayat Raj-RDPR(T.P),Uttara Kannada,Haliyal
Uttara Kannada-Honnavar-Rural Development and Panchayat Raj-RDPR(T.P),Uttara Kannada,Honnavar
Uttara Kannada-joida-Rural Development and Panchayat Raj-RDPR(T.P),Uttara Kannada,joida
"Uttara Kannada - Karnataka Maharshi Valmiki Scheduled Tribes Development Corporation Ltd, Karwar",Uttara Kannada,Not Applicable
Uttarakannada- Karwar Institute of Medical Sciences,Uttarakannada,Not Applicable
Uttara Kannada-Karwar-Rural Development and Panchayat Raj-RDPR(T.P),Uttara Kannada,Karwar
Uttara Kannada-Kumta-Rural Development and Panchayat Raj-RDPR(T.P),Uttara Kannada,Kumta
Uttara Kannada-LABOUR,Uttara Kannada,Not Applicable
Uttara Kannada-Mundgod-Rural Development and Panchayat Raj-RDPR(T.P),Uttara Kannada,Mundgod
Uttarakannada- Office of The Assistant Commissioner Muzarai,Uttarakannada,Not Applicable
"Uttarakannada - Office of The Assistant Director, Department of Agricultural Marketing, Sirsi",Uttarakannada,Not Applicable
"Uttarakannada- Office of the Assistant Executive Engineer, Karnataka Housing Board",Uttarakannada,Not Applicable
"Uttarakannada-Office of The Deputy Director, Department of Animal Husbandary and Veterinary Service",Uttarakannada,Not Applicable
"Uttarakannada- Office of The Deputy Director, Department of Horticulture",Uttarakannada,Not Applicable
"Uttarakannada - Office of the Deputy Director, Department of Sericulture, Sirsi",Uttarakannada,Not Applicable
"Uttarakannada- Office of The Deputy Director, Department of Social Welfare",Uttarakannada,Not Applicable
"Uttarakannada- Office of the Deputy Director, Department of Women and Child Development",Uttarakannada,Not Applicable
"Uttara Kannada - Office of the Deputy Director, District Treasury, Karwar",Uttara Kannada,Not Applicable
Uttarakannada- Office of The District Health and Family Welfare officer,Uttarakannada,Not Applicable
"Uttarakannada- Office of The District Officer, Backward Classes Welfare Department",Uttarakannada,Not Applicable
"Uttara Kannada - Office of The District officer, Minority Welfare Department, Karwar",Uttara Kannada,Not Applicable
"Uttarakannada - Office of the District Scheduled Tribes Welfare Department, Karawara",Uttarakannada,Not Applicable
"Uttara Kannada - Office of The District Skill Development Officer, Skill Development Department",Uttara Kannada,Not Applicable
"Uttarakannada- Office of the Joint Director, Department of Agriculture",Uttarakannada,Not Applicable
"Uttara kannada - Office of The Joint Director,District Industrial Centre, Dept of Ind & Comm",Uttara kannada,Not Applicable
Uttara Kannada- Office of The Superintendent of Police,Uttara Kannada,Not Applicable
Uttara Kannada-Public Works Department - PWD,Uttara Kannada,Not Applicable
Uttara Kannada-REVENUE,Uttara Kannada,Not Applicable
Uttara Kannada-Rural Development and Panchayat Raj-RDPR(Z.P),Uttara Kannada,NA
Uttara Kannada-Siddapur-Rural Development and Panchayat Raj-RDPR(T.P),Uttara Kannada,Siddapur
Uttara Kannada-Sirsi-Rural Development and Panchayat Raj-RDPR(T.P),Uttara Kannada,Sirsi
Uttara Kannada-Urban Development Cell - DUDC,Uttara Kannada,Not Applicable
Uttara Kannada-Yellapur-Rural Development and Panchayat Raj-RDPR(T.P),Uttara Kannada,Yellapur
Vadi-Shahbad Planning Authority,Vadi,Not Applicable
Vijayanagara-Deputy Director of Land Records-DDLR,Vijayanagara,Not Applicable
"Vijayanagara-Office of the Deputy Director, Women and child development",Vijayanagara,Not Applicable
"Vijayanagara- Office of The District Officer, Backward Classes Welfare Department",Vijayanagara,Not Applicable
"Vijayanagara-Office of the District Registrar, Department of Stamps and Registration",Vijayanagara,Not Applicable
"Vijayanagara - Office of The District Skill Development Officer, Skill Development Department",Vijayanagara,Not Applicable
"Vijayanagara - Office of the Joint Director, Department of Agriculture",Vijayanagara,Not Applicable
"Vijayanagara - Office of the Labour Officer, Department of Labour",Vijayanagara,Not Applicable
Vijayanagara- Office of the Superintendent of Police,Vijayanagara,Not Applicable
Vijayanagara - REVENUE,Vijayanagara,Not Applicable
Vijayanagara-Rural Development and Panchayat Raj - RDPR(Z.P),Vijayanagara,Not Applicable
Vijayanagara Sri Krishnadevaraya University Bellary,State Level / Not Applicable,Not Applicable
"Vijayanagar - Office of the Deputy Director, District Treasury, Hospet",Vijayanagar,Not Applicable
Vijayapura-Babaleshwar-Rural Development and Panchayat Raj - RDPR(T.P),Vijayapura,Babaleshwar
Vijayapura-Basavana Bagevadi-Rural Development and Panchayat Raj - RDPR(T.P),Vijayapura,Basavana Bagevadi
Vijayapura -Chadchan-Rural Development and Panchayat Raj - RDPR(T.P),Vijayapura,Chadchan
Vijayapura-City Corporation,Vijayapura,Not Applicable
Vijayapura-Deputy Director of Land Records-DDLR,Vijayapura,Not Applicable
Vijayapura-Devara Hippargi-Rural Development and Panchayat Raj - RDPR(T.P),Vijayapura,Devara Hippargi
Vijayapura - District Consumer Disputes Redressal Commission,Vijayapura,Not Applicable
Vijayapura- District Hospital,Vijayapura,Not Applicable
Vijayapura - District Institute for Education and Training (DIET),Vijayapura,Not Applicable
Vijayapura-District Registrar - DR,Vijayapura,Not Applicable
Vijayapura - District Training Institute,Vijayapura,Not Applicable
Vijayapura-Food and Civil Supplies - FCS,Vijayapura,Not Applicable
Vijayapura-Indi-Rural Development and Panchayat Raj - RDPR(T.P),Vijayapura,Indi
"Vijayapura - Joint Director office, Commerce and Industries department",Vijayapura,Not Applicable
Vijayapura-Kolhar-Rural Development and Panchayat Raj - RDPR (T.P),Vijayapura,Kolhar
Vijayapura-LABOUR,Vijayapura,Not Applicable
Vijayapura-Muddebihal-Rural Development and Panchayat Raj - RDPR(T.P),Vijayapura,Muddebihal
Vijayapura-Nidagundi-Rural Development and Panchayat Raj - RDPR(T.P),Vijayapura,Nidagundi
"Vijayapura - Office of The Assistant Director, Department of Agricultural Marketing",Vijayapura,Not Applicable
"Vijayapura - Office of the Assistant Director, Department of Youth Empowerment and Sports",Vijayapura,Not Applicable
"Vijayapura-Office of the commandant, India Reserve Battalion",Vijayapura,Not Applicable
"Vijayapura - Office of The Deputy Director,Department of Animal Husbandry and Veterinary Services",Vijayapura,Not Applicable
"Vijayapura - Office of the Deputy Director, Department of Women and Child Development",Vijayapura,Not Applicable
"Vijayapura - Office of the Deputy Director, District Treasury",Vijayapura,Not Applicable
"Vijayapura - Office of The District Officer, Backward Class Welfare Department",Vijayapura,Not Applicable
"Vijayapura - Office of The District Skill Development Officer, Skill Development Department",Vijayapura,Not Applicable
"Vijayapura- Office of the Executive Engineer, Dept of Minor Irrigation and Ground Water Development",Vijayapura,Not Applicable
"Vijayapura- Office of The Joint Director, Department of Agriculture",Vijayapura,Not Applicable
Vijayapura- Office of The Superintendent of Police,Vijayapura,Not Applicable
Vijayapura-Public Works Department - PWD,Vijayapura,Not Applicable
"Vijayapura- Regional Office, Karnataka State Pollution Control Board",Vijayapura,Not Applicable
Vijayapura-REVENUE,Vijayapura,Not Applicable
Vijayapura-Rural Development and Panchayat Raj - RDPR(Z.P),Vijayapura,NA
Vijayapura-Sindgi-Rural Development and Panchayat Raj - RDPR (T.P),Vijayapura,Sindgi
Vijayapura-Talikote-Rural Development and Panchayat Raj - RDPR(T.P),Vijayapura,Talikote
Vijayapura-Tikota-Rural Development and Panchayat Raj - RDPR(T.P),Vijayapura,Tikota
Vijayapura - Urban Development Authority,Vijayapura,Not Applicable
Vijayapura-Urban Development Cell - DUDC,Vijayapura,Not Applicable
Vijayapura-Vijayapura-Rural Development and Panchayat Raj - RDPR(T.P),Vijayapura,Vijayapura
Visvesvaraya Jala Nigam Limited,State Level / Not Applicable,Not Applicable
Visvesvaraya Trade Promotion Centre (VTPC),VTPC,Not Applicable
"Yadagir - Joint Director office, Commerce and Industries department",Yadagir,Not Applicable
Yadgir-Deputy Director of Land Records-DDLR,Yadgir,Not Applicable
Yadgir - District Consumer Disputes Redressal Commission,Yadgir,Not Applicable
Yadgir-District Registrar - DR,Yadgir,Not Applicable
Yadgir - District Training Institute,Yadgir,Not Applicable
Yadgir-Food and Civil Supplies - FCS,Yadgir,Not Applicable
Yadgir-Gurumitkal-Rural Development and Panchayat Raj-RDPR(T.P),Yadgir,Gurumitkal
Yadgir-Hunasagi-Rural Development and Panchayat Raj-RDPR(T.P),Yadgir,Hunasagi
Yadgir-LABOUR,Yadgir,Not Applicable
"Yadgir -Office of The Assistant Director, Department of Agricultural Marketing",Yadgir,Not Applicable
"Yadgir - Office of the Deputy Director, Backward Class Welfare Department",Yadgir,Not Applicable
"Yadgir - Office of the Deputy Director, Department of Animal Husbandry and Veterinary Services",Yadgir,Not Applicable
"Yadgir- Office of The Deputy Director, Department of Women and Child Development",Yadgir,Not Applicable
"Yadgir - Office of the Deputy Director, District Treasury",Yadgir,Not Applicable
"Yadgir - Office of The District Skill Development Officer, Skill Development Department",Yadgir,Not Applicable
Yadgir- Office of The Superintendent of Police,Yadgir,Not Applicable
Yadgir-Public Works Department - PWD,Yadgir,Not Applicable
Yadgir-REVENUE,Yadgir,Not Applicable
Yadgir-Rural Development and Panchayat Raj-RDPR(Z.P),Yadgir,NA
Yadgir-Shahpur-Rural Development and Panchayat Raj-RDPR(T.P),Yadgir,Shahpur
Yadgir-Shorapur-Rural Development and Panchayat Raj-RDPR(T.P),Yadgir,Shorapur
Yadgir-Urban Development Cell - DUDC,Yadgir,Not Applicable
Yadgir-Vadagera-Rural Development and Panchayat Raj-RDPR(T.P),Yadgir,Vadagera
Yadgir-Yadgir-Rural Development and Panchayat Raj-RDPR(T.P),Yadgir,Yadgir
